station,model,date,forecast,lower95,upper95,sarima_forecast,sarima_lower95,sarima_upper95
Dhaka,SARIMA+SVR,2026-01-01,25.04820392201096,23.01428824833689,27.08936887955898,24.926394818973183,23.106839148855087,26.74595048909128
Dhaka,SARIMA+SVR,2026-02-01,28.947174252460236,26.913258578786166,30.988339210008256,28.819849369505086,26.91091152844493,30.72878721056524
Dhaka,SARIMA+SVR,2026-03-01,32.86219863061468,30.82828295694061,34.9033635881627,32.904578214170776,30.96335530057321,34.84580112776835
Dhaka,SARIMA+SVR,2026-04-01,34.726510990688325,32.69259531701425,36.767675948236345,34.7981039299448,32.84497567489051,36.75123218499909
Dhaka,SARIMA+SVR,2026-05-01,34.29466407166682,32.26074839799276,36.33582902921484,34.30093928914669,32.343389009273324,36.25848956902006
Dhaka,SARIMA+SVR,2026-06-01,33.65764307632097,31.623727402646903,35.69880803386899,33.5099965635792,31.550799471867634,35.469193655290766
Dhaka,SARIMA+SVR,2026-07-01,33.180464225631304,31.146548551957235,35.221629183179324,33.01362617051217,31.053815190915014,34.97343715010932
Dhaka,SARIMA+SVR,2026-08-01,33.15125840681781,31.11734273314374,35.19242336436583,33.013186962588456,31.053147061125795,34.97322686405112
Dhaka,SARIMA+SVR,2026-09-01,33.53781511872447,31.503899445050397,35.57898007627249,33.34380475525765,31.383679481936333,35.30393002857897
Dhaka,SARIMA+SVR,2026-10-01,32.772345842430916,30.738430168756846,34.813510799978935,32.707933099696994,30.747776002490344,34.66809019690365
Dhaka,SARIMA+SVR,2026-11-01,30.559063440384396,28.525147766710326,32.60022839793241,30.537170556756283,28.57700163783833,32.49733947567424
Dhaka,SARIMA+SVR,2026-12-01,26.611988538071387,24.578072864397317,28.653153495619406,26.5689588540146,24.60878565476626,28.52913205326294
Dhaka,SARIMA+SVR,2027-01-01,25.141067658121674,23.107151984447604,27.182232615669694,25.103980266142432,23.137468993951565,27.0704915383333
Dhaka,SARIMA+SVR,2027-02-01,28.96849435177361,26.93457867809954,31.00965930932163,28.93808641928996,26.970918996109383,30.905253842470536
Dhaka,SARIMA+SVR,2027-03-01,33.024415563188604,30.990499889514535,35.065580520736624,32.98656950769895,31.01915740329042,34.953981612107484
Dhaka,SARIMA+SVR,2027-04-01,34.936197338570125,32.90228166489605,36.977362296118145,34.85795890801173,32.89045554797004,36.82546226805342
Dhaka,SARIMA+SVR,2027-05-01,34.466023402636104,32.43210772896204,36.507188360184124,34.34727498901925,32.379737592818344,36.31481238522015
Dhaka,SARIMA+SVR,2027-06-01,33.669605377328196,31.635689703654126,35.710770334876216,33.54807565529053,31.58052556446429,35.515625746116775
Dhaka,SARIMA+SVR,2027-07-01,33.20157656869478,31.167660895020713,35.2427415262428,33.04666271650856,31.07910789167217,35.01421754134495
Dhaka,SARIMA+SVR,2027-08-01,33.22074677585965,31.186831102185582,35.26191173340767,33.043143882327826,31.075587294247175,35.01070047040848
Dhaka,SARIMA+SVR,2027-09-01,33.540152344056715,31.506236670382645,35.581317301604734,33.37188085954803,31.404323620466517,35.339438098629536
Dhaka,SARIMA+SVR,2027-10-01,32.8716301333611,30.83771445968703,34.91279509090912,32.73486053643555,30.767303072420138,34.702418000450955
Dhaka,SARIMA+SVR,2027-11-01,30.65334265264411,28.61942697897004,32.69450761019213,30.56339646951208,28.595838969542214,32.53095396948195
Dhaka,SARIMA+SVR,2027-12-01,26.648629135984315,24.614713462310245,28.689794093532335,26.594756326097897,24.627198941256015,28.56231371093978
Dhaka,SARIMA+SVR,2028-01-01,25.171109169951848,23.137193496277778,27.212274127499867,25.12951607730698,23.155828518490818,27.103203636123144
Dhaka,SARIMA+SVR,2028-02-01,29.01863854753261,26.98472287385854,31.05980350508063,28.963462426680508,26.989157072100593,30.937767781260423
Dhaka,SARIMA+SVR,2028-03-01,33.09028009742839,31.05636442375432,35.13144505497641,33.01184791837423,31.037312182115475,34.98638365463298
Dhaka,SARIMA+SVR,2028-04-01,34.97097844582967,32.9370627721556,37.01214340337769,34.88317771359388,32.90855605437121,36.85779937281655
Dhaka,SARIMA+SVR,2028-05-01,34.47193409486225,32.438018421188175,36.51309905241027,34.372457392073734,32.397803685593374,36.347111098554095
Dhaka,SARIMA+SVR,2028-06-01,33.70405488329581,31.67013920962174,35.74521984084383,33.5732358262848,31.5985701669992,35.54790148557041
Dhaka,SARIMA+SVR,2028-07-01,33.237307101356585,31.203391427682515,35.278472058904605,33.07180930975058,31.097139193139977,35.04647942636118
Dhaka,SARIMA+SVR,2028-08-01,33.25280871133523,31.218893037661157,35.29397366888325,33.06828218324992,31.09361040658634,35.0429539599135
Dhaka,SARIMA+SVR,2028-09-01,33.57373170414503,31.539816030470963,35.61489666169305,33.39701409611421,31.42234170691494,35.37168648531349
Dhaka,SARIMA+SVR,2028-10-01,32.90441281910463,30.87049714543056,34.94557777665265,32.759990680055374,30.785318080204853,34.734663279905895
Dhaka,SARIMA+SVR,2028-11-01,30.685820214930917,28.651904541256847,32.72698517247893,30.588524724181486,28.61385209353103,32.56319735483194
Dhaka,SARIMA+SVR,2028-12-01,26.67700652228546,24.64309084861139,28.71817147983348,26.619883427131494,24.64521091306846,28.59455594119453
Chittagong,SARIMA+LSTM,2026-01-01,26.786892663737937,25.108766236944934,28.46172404860568,26.82125847728587,25.320770290635295,28.321746663936445
Chittagong,SARIMA+LSTM,2026-02-01,29.301891761020862,27.62376533422786,30.976723145888606,29.33009412060739,27.73388585746652,30.92630238374826
Chittagong,SARIMA+LSTM,2026-03-01,31.89958098990303,30.221454563110026,33.57441237477077,31.938335342663798,30.322005840386147,33.55466484494145
