date,station,origin,actual,SNAIVE,SARIMA,SVR,SARIMA+SVR,XGB,SARIMA+XGB,ANN,SARIMA+ANN
2012-01-01,Dhaka,2011,24.05,23.45,24.368450981773847,24.438956094343705,24.34790344157794,25.163752,24.160978329576963,24.59202536174578,24.1143186996498
2012-02-01,Dhaka,2011,28.51,28.73,28.152264961009465,28.185231013014516,28.10899705462244,27.915167,28.22741390109583,27.351114547018977,27.825495497215634
2012-03-01,Dhaka,2011,33.0,32.08,32.46861177496765,32.602669035588164,32.54279221061559,32.768837,32.40229791961763,33.237797602112536,32.610210385798496
2012-04-01,Dhaka,2011,33.51,33.47,34.2678449176615,34.25770082890449,34.16275521511568,35.000256,34.18443343270476,34.54831961150851,34.33764077189405
2012-05-01,Dhaka,2011,34.63,33.4,33.58991886479078,33.2692822916894,33.59826449752282,33.70114,33.501296227697715,33.40999104905528,33.63951799310705
2012-06-01,Dhaka,2011,33.2,32.63,32.98709722401873,32.41552933368991,33.024747391663304,32.260746,32.98287950249688,33.07639595485576,33.28620848237261
2012-07-01,Dhaka,2011,32.56,32.32,32.29879046942162,31.98651632716738,32.32421799584547,31.850136,32.1161371168034,31.542677559098475,32.16088506176761
2012-08-01,Dhaka,2011,32.55,31.12,32.51105676763027,32.4827841552337,32.483744371606264,31.963974,32.49690859191387,32.526260825370564,32.85537206906736
2012-09-01,Dhaka,2011,32.91,32.42,32.465552052919776,32.51383885106646,32.35286987097714,32.068127,32.28536807603112,32.721985484967654,32.42446653396609
2012-10-01,Dhaka,2011,32.34,32.65,32.24141899057995,32.21433728502782,32.21510531037328,32.08129,32.23457491332065,32.167499988753015,32.051108614325976
2012-11-01,Dhaka,2011,28.74,29.71,30.075550892773894,29.99671423962586,30.052054672339608,29.836514,30.039453783456114,29.700185005911578,29.88489679615742
2012-12-01,Dhaka,2011,23.96,24.98,26.146850446839164,25.95174697086465,26.176724463850093,26.434418,26.116311450157593,25.55141798824652,26.031177886808912
2013-01-01,Dhaka,2011,24.23,24.05,23.90383732607693,24.684348756525594,23.968446830298646,25.056175,23.964442971256677,24.31695989557417,23.868245008246035
2013-02-01,Dhaka,2011,28.91,28.51,28.099405606270317,29.23223596993602,28.211010573416527,28.505459,28.33369687664557,28.55882267500924,28.130390635707126
2013-03-01,Dhaka,2011,33.39,33.0,32.623374098243886,32.12530366569005,32.65205527217749,33.168438,32.65415054120379,33.81993051874081,32.75164467056866
2013-04-01,Dhaka,2011,34.22,33.51,34.37913216555087,34.40603690330738,34.325698516155185,34.19514,34.3721971465048,35.25661904822469,34.49998068932169
2013-05-01,Dhaka,2011,31.73,34.63,33.97555186384933,33.58855958114246,33.98846660185613,33.73395,33.87540133827942,34.13772827614937,34.414248371058726
2013-06-01,Dhaka,2011,33.7,33.2,32.1452621676842,32.20206523735802,32.27828098459533,32.270485,32.20952329122222,32.5590654249688,32.42137286554973
2013-07-01,Dhaka,2011,32.68,32.56,32.20293012515918,32.161082294245794,32.29809983493542,32.01238,32.21943717518166,31.987852939366746,32.40971001103637
2013-08-01,Dhaka,2011,32.04,32.55,32.52046115881531,32.16879504243609,32.3622380795212,32.450867,32.569677161041184,32.778142267376865,32.7791960826899
2013-09-01,Dhaka,2011,32.63,32.91,32.33975924106356,32.18250852785664,32.23635022721222,31.979668,32.354941969942715,32.6003438742045,32.12941240444726
2013-10-01,Dhaka,2011,31.51,32.34,32.10728673634815,31.891077190750604,31.98615007506886,31.686842,31.873145818689345,31.76076257092079,31.81456001483093
2013-11-01,Dhaka,2011,30.18,28.74,29.64771066906243,29.006899402781148,29.65923023737686,29.793922,29.442895087621505,28.737359211162644,29.640430421228125
