date,station,origin,actual,SNAIVE,SARIMA,SVR,XGB,ANN,SARIMA+SVR,SARIMA+XGB,SARIMA+ANN,sarima_lo,sarima_hi
2012-01-01,Dhaka,2011,24.05,23.45,24.368450981773847,24.438956094343705,25.163752,24.59202536174578,24.34790344157794,24.160978329576963,24.1143186996498,22.524733039100134,26.21216892444756
2012-02-01,Dhaka,2011,28.51,28.73,28.258372526146253,28.307710779129806,28.433134,27.55202080916585,28.222457089438542,28.333521466232618,27.931649561785097,26.315005467682948,30.20173958460956
2012-03-01,Dhaka,2011,33.0,32.08,32.42052460028563,32.5621730572541,32.95107,32.90393534436946,32.474709534923086,32.40455951294635,32.605020195494696,30.43402932250698,34.40701987806428
2012-04-01,Dhaka,2011,33.51,33.47,34.058561453685535,34.1611584917257,34.871986,34.49113710041483,33.99111538089053,34.03027595961131,34.020196636122975,32.05299830185077,36.0641246055203
2012-05-01,Dhaka,2011,34.63,33.4,33.7021768369026,33.506354953171446,33.8483,33.920625053599565,33.734363980004495,33.613554199809535,33.7153072755944,31.68810871213686,35.716244961668345
2012-06-01,Dhaka,2011,33.2,32.63,32.71577586753408,32.266217364602994,32.314316,32.8075240621141,32.83053351722405,32.74588098337988,33.054797296746315,30.697899688964633,34.73365204610352
2012-07-01,Dhaka,2011,32.56,32.32,32.04602227438515,31.86874835218345,31.810955,31.422113411803075,32.08482973444536,31.903729238401112,31.891813856570085,30.026438204822192,34.06560634394811
2012-08-01,Dhaka,2011,32.55,31.12,32.25462648530158,32.076050899482624,31.924294,32.24109779619909,32.26774651753265,32.23507259484979,32.49219970372404,30.23427592484753,34.27497704575563
2012-09-01,Dhaka,2011,32.91,32.42,32.28072607027217,32.29029759429655,32.02352,32.5193352385001,32.25772504109699,32.3167032028906,32.12502947410627,30.260031546047777,34.30142059449657
2012-10-01,Dhaka,2011,32.34,32.65,31.96946645811084,31.868115218116596,31.75213,31.775841523507275,31.889836389835306,32.023682664184605,31.597614308676334,29.948617887667606,33.99031502855407
2012-11-01,Dhaka,2011,28.74,29.71,29.86045133986596,29.62750535816686,29.446665,29.84004988148691,29.78756998791496,29.623883276368417,29.54714935300169,27.839534512376773,31.88136816735515
2012-12-01,Dhaka,2011,23.96,24.98,26.447698081514112,26.067738944677018,26.179142,25.74373464397838,26.499497577298463,26.490699804058544,26.26995299663268,24.42675265676177,28.468643506266453
2013-01-01,Dhaka,2011,24.23,23.45,24.860103874617007,24.61013606235578,24.70331,24.77213331571873,24.89294311869374,24.83731539655545,24.56811247198532,22.83300297338497,26.887204775849042
2013-02-01,Dhaka,2011,28.91,28.73,28.59359098135229,28.236879225933794,27.809715,28.297949601105522,28.635742330024097,28.570802503290732,28.48214850685782,26.56573789473417,30.62144406797041
2013-03-01,Dhaka,2011,33.39,32.08,32.65090654564187,32.64602510795268,32.220085,32.990142624318814,32.70276554262434,32.58361860883519,32.43220007689435,30.622715731393512,34.67909735989022
2013-04-01,Dhaka,2011,34.22,33.47,34.21868589076228,34.19023699292628,34.0513,34.39239824558447,34.29887415257325,34.1513979539556,34.157348477394216,32.19034341867758,36.24702836284698
2013-05-01,Dhaka,2011,31.73,33.4,33.81521731938457,33.63280260602836,33.08003,33.69199921603773,33.89778912194265,33.63193694080448,33.83598417253763,31.786806746293973,35.843627892475176
2013-06-01,Dhaka,2011,33.7,32.63,32.79726244446814,32.387600965218525,32.307358,32.50668115104754,32.852923130920416,32.783329042913316,32.69331012509173,30.76882130356206,34.82570358537422
2013-07-01,Dhaka,2011,32.68,32.32,32.106362603857725,31.888165513625356,31.71813,31.722599712467684,32.16319312457321,32.13692865546009,32.09966857556908,30.077907772003798,34.13481743571165
2013-08-01,Dhaka,2011,32.04,31.12,32.30079539054194,32.24053130589858,31.84033,32.00363954361474,32.382687593207734,32.38544288211623,32.10713395168541,30.27233449326642,34.329256287817465
2013-09-01,Dhaka,2011,32.63,32.42,32.31739781696774,32.1607772907126,31.849045,32.132688920676586,32.41285559601633,32.33260487664916,32.10620144676482,30.28893438130197,34.34586125263351
