date,station,origin,actual,LSTM,SARIMA+LSTM
2012-01-01,Dhaka,2011,24.05,23.77792080461979,24.3167108666058
2012-02-01,Dhaka,2011,28.51,28.28010397791863,28.220785254442244
2012-03-01,Dhaka,2011,33.0,32.20664366900921,32.34583232980855
2012-04-01,Dhaka,2011,33.51,34.13519437611103,33.9872673121953
2012-05-01,Dhaka,2011,34.63,33.380517454743384,33.63974540042362
2012-06-01,Dhaka,2011,33.2,32.28037964046001,32.65291301715843
2012-07-01,Dhaka,2011,32.56,31.7803755825758,31.98166734458584
2012-08-01,Dhaka,2011,32.55,31.70770986437797,32.18460829082919
2012-09-01,Dhaka,2011,32.91,31.860322359204297,32.2504809185038
2012-10-01,Dhaka,2011,32.34,31.48319461286068,31.928358100204864
2012-11-01,Dhaka,2011,28.74,29.285778553485876,29.805467536780583
2012-12-01,Dhaka,2011,23.96,26.007228918373585,26.41282693043762
2013-01-01,Dhaka,2011,24.23,24.598063159585,24.87354086898712
2013-02-01,Dhaka,2011,28.91,28.682412965893747,28.609625819167206
2013-03-01,Dhaka,2011,33.39,32.44643395423889,32.670422902112016
2013-04-01,Dhaka,2011,34.22,34.04065738737583,34.24351195672983
2013-05-01,Dhaka,2011,31.73,33.14497833132744,33.84569473721543
2013-06-01,Dhaka,2011,33.7,32.16000643968582,32.83340312697207
2013-07-01,Dhaka,2011,32.68,31.805715737938883,32.14829078462234
2013-08-01,Dhaka,2011,32.04,31.867124042510987,32.348541277049144
2013-09-01,Dhaka,2011,32.63,31.91120636045933,32.37100863499912
2013-10-01,Dhaka,2011,31.51,31.373656519055366,32.05810398230723
2013-11-01,Dhaka,2011,30.18,29.312001075148583,29.949789885331136
2013-12-01,Dhaka,2011,26.25,26.33508682310581,26.539361927001515
2014-01-01,Dhaka,2011,24.29,25.17598740503192,24.954332995994164
2014-02-01,Dhaka,2011,27.17,29.033562707006933,28.689708096425235
2014-03-01,Dhaka,2011,32.4,32.59079522669315,32.749337649736546
2014-04-01,Dhaka,2011,36.44,33.952751754522325,34.319643282402176
2014-05-01,Dhaka,2011,35.18,33.064157090187074,33.918743965926126
2014-06-01,Dhaka,2011,33.23,32.16394679784775,32.903314760607245
2014-07-01,Dhaka,2011,32.87,31.836600314378742,32.21485071239834
2014-08-01,Dhaka,2011,32.16,31.8976460146904,32.4115961369603
2014-09-01,Dhaka,2011,32.86,31.91459534943104,32.43037129431542
2014-10-01,Dhaka,2011,32.2,31.346655232310297,32.11476976591605
2014-11-01,Dhaka,2011,30.22,29.34340102374554,30.00338757858917
2014-12-01,Dhaka,2011,24.52,26.51333096146584,26.589538032973422
2015-01-01,Dhaka,2014,24.77,24.21637432575226,24.21261232110064
2015-02-01,Dhaka,2014,28.42,27.85727668106556,28.196928072627696
2015-03-01,Dhaka,2014,32.11,32.93952570378781,32.52291062810652
2015-04-01,Dhaka,2014,32.82,35.634720150828365,34.22205500361343
2015-05-01,Dhaka,2014,34.07,35.01262118041515,33.66487586015276
2015-06-01,Dhaka,2014,32.75,33.56574589550495,32.76943850543242
2015-07-01,Dhaka,2014,31.73,32.94789281904698,32.11102925275012
2015-08-01,Dhaka,2014,32.62,32.89261191189289,32.13305769153009
2015-09-01,Dhaka,2014,32.86,32.98080025315285,32.301021558852625
2015-10-01,Dhaka,2014,32.39,32.22067373216152,31.85627707322808
2015-11-01,Dhaka,2014,30.23,29.778762311935427,29.70270497297824
2015-12-01,Dhaka,2014,25.94,26.209758762419227,25.910354075936453
