station,origin,model,MAE,RMSE,MAPE,MASE,R2,ACF1
Dhaka,2011,LSTM,0.8976075121387832,1.0847989347952072,2.9235082133728434,0.8756598830195124,0.8986333401822908,0.2827370529319089
Dhaka,2011,SARIMA+LSTM,0.7095424205023414,0.935814410293926,2.377832393721885,0.6921932186752879,0.924564444487598,0.2190741483829125
Dhaka,2014,LSTM,0.7506583393654899,0.9696213624970518,2.424861908881665,0.7414636022346045,0.8745762544468401,0.2949331385197669
Dhaka,2014,SARIMA+LSTM,0.6852933320775866,0.8790536556802119,2.229310253253181,0.6768992442275428,0.8969124580440488,0.2126664208498941
Dhaka,2017,LSTM,1.1162566947688657,1.265544331212339,3.6839250938215606,1.1088438681687007,0.8364871610045808,0.4918695270687799
Dhaka,2017,SARIMA+LSTM,0.7863322488611953,0.9289828195710784,2.60037239184016,0.7811103813120538,0.9118925771998094,0.3093571920039847
Dhaka,2020,LSTM,1.171082704253494,1.5102832037930023,3.710647729129123,1.1666873716208257,0.7773402688213246,0.4578749691402788
Dhaka,2020,SARIMA+LSTM,0.8086442561229462,1.008241014389585,2.47413257055011,0.8056092352194286,0.9007675724567912,0.0848425862308694
Chittagong,2011,LSTM,0.6290684120563994,0.7652894741490331,2.13411651609162,0.7446479584237022,0.8764077476953477,0.2149145345792955
Chittagong,2011,SARIMA+LSTM,0.6554667219937311,0.8221541605851875,2.2384827434197363,0.7758964637117214,0.8573583727898864,0.2717622637432277
Chittagong,2014,LSTM,0.9025474232186877,1.0624128424464687,2.9108247034272807,1.07759197712131,0.7489981049986909,0.048403094073630346
Chittagong,2014,SARIMA+LSTM,0.8560429861623827,0.9995878023959479,2.736697778925537,1.0220682373340935,0.7778060280007301,0.019297955092399628
Chittagong,2017,LSTM,1.0073163732886312,1.1546255879718612,3.3034962960554366,1.1944987517586647,0.7780252315909078,0.5119598589956624
Chittagong,2017,SARIMA+LSTM,0.6120625213766451,0.7881758303357288,2.0591795367466736,0.7257977107984284,0.8965650087882923,0.32171629744727237
Chittagong,2020,LSTM,1.0174183964812094,1.1813302712906342,3.2099187337095,1.2068970413600029,0.7245094086419955,0.05261569664776104
Chittagong,2020,SARIMA+LSTM,0.6824300310337512,0.8230253525586131,2.1586431463156064,0.8095222066343487,0.8662817966823866,-0.028041616772063918
Barisal,2011,LSTM,0.6348043736153178,0.857643069112561,2.1113954850284684,0.775485374189425,0.9187092516388222,0.2824791980171308
Barisal,2011,SARIMA+LSTM,0.6899731930321683,0.9326879913322685,2.3395063071277407,0.842880329780879,0.9038607505480429,0.28899371637379
Barisal,2014,LSTM,0.5955567701968056,0.7780149681907571,1.9353194269317193,0.7265876211643146,0.9033639612841756,0.20131759069743427
Barisal,2014,SARIMA+LSTM,0.5731922813100251,0.6994241261408841,1.834177465357242,0.6993026307285048,0.9219011872046926,0.05238141152712374
Barisal,2017,LSTM,0.7375865228349967,0.8828001209381998,2.382173392178209,0.9073231635402484,0.8989090662118767,0.22227646276690977
Barisal,2017,SARIMA+LSTM,0.622488806096833,0.7397628673088201,2.0490153180805177,0.7657386561854523,0.9290140341025312,0.2653905656401373
Barisal,2020,LSTM,0.83833059747186,1.049409784446811,2.6423496780581637,1.0300966873814268,0.8493974860768031,0.34430538495050356
Barisal,2020,SARIMA+LSTM,0.616102168561472,0.7310811911376507,1.944547264970051,0.7570340446091003,0.9269074313036304,0.07643269760694259
Bogra,2011,LSTM,0.9789054486528056,1.1301755564528968,3.217361025306245,0.8656005554349715,0.9040440136756841,0.06049553768896018
Bogra,2011,SARIMA+LSTM,0.7820972116124483,1.0393267937971347,2.6428665240461178,0.6915721857586551,0.918850751795748,0.11645679551536031
Bogra,2014,LSTM,1.1065936611137464,1.417032287143785,3.6677926751321395,0.9818897646191583,0.7605263379903815,0.5175232531587776
Bogra,2014,SARIMA+LSTM,0.822152266926281,1.0765968977566354,2.7309801351189216,0.7295025484249319,0.8617692985068227,0.39797210097393415
Bogra,2017,LSTM,1.0256655725091695,1.4008713159899269,3.6580248400942468,0.9134469260727505,0.8054996318936705,0.15952480659593307
Bogra,2017,SARIMA+LSTM,0.8013857935206581,1.053870362807887,2.749016070862307,0.7137057236882861,0.8899225590558628,0.20028751112929172
Bogra,2020,LSTM,0.9632837348100227,1.1066411614972047,3.069033339819782,0.8650900109928171,0.8923968912227587,0.10607389301962711
Bogra,2020,SARIMA+LSTM,0.9434931383823569,1.1501810349886605,2.9943339194108685,0.8473167976990825,0.88376321641507,0.02121896467814517
Comilla,2011,LSTM,0.755245192485551,0.963420759620557,2.451830938093373,0.8290832006080827,0.8968916880747287,0.14880645182672694
Comilla,2011,SARIMA+LSTM,0.6705735522056595,0.9347668582197354,2.2626558513047006,0.7361334735228199,0.9029337416877146,0.16277852170748094
Comilla,2014,LSTM,0.7551075759778426,0.9578597768925639,2.5046629565074356,0.831674428087484,0.8358509149069683,0.3577897259466868
Comilla,2014,SARIMA+LSTM,0.6047945401694927,0.7787265399380823,2.027487502784395,0.6661198606761896,0.8915062935856208,0.23959321234013484
Comilla,2017,LSTM,0.6487564754568873,0.8226231981954397,2.232382666889524,0.7199664948862885,0.9084242412752723,0.1839917222140745
Comilla,2017,SARIMA+LSTM,0.5998003432856779,0.7851850954985296,2.0604542177100362,0.6656367483389836,0.9165699094836197,0.19486826592911835
Comilla,2020,LSTM,1.0819504107203741,1.3289251351739728,3.4190057009099966,1.193213418933802,0.7518162795096102,0.2927048829000563
