station,model_a,model_b,DM,p
Barisal,SNAIVE,SVR,2.222629386402572,0.027810709429058885
Barisal,SNAIVE,XGB,0.21362434809334344,0.8311442880240915
Barisal,SARIMA,SNAIVE,-2.6784605235840497,0.00826257604355563
Barisal,SARIMA,SVR,-1.4570045139740404,0.14730750363867606
Barisal,SARIMA,XGB,-2.653333375024269,0.008871711791908736
Barisal,SARIMA,SARIMA+ANN,-1.7451300006861765,0.08311037071258982
Barisal,SARIMA,SARIMA+SVR,-0.012952196772420476,0.9896839837478091
Barisal,SARIMA,SARIMA+XGB,-0.22064893440040517,0.8256805145561161
Barisal,SARIMA,SARIMA+LSTM,-0.9865747767292107,0.32551748169574646
Barisal,ANN,SNAIVE,-1.1679290734440326,0.2447789475692495
Barisal,ANN,SARIMA,3.149009073579488,0.00199484409723284
Barisal,ANN,SVR,1.5793445538005875,0.11646652855941605
Barisal,ANN,XGB,-1.093833592259692,0.27586708897450335
Barisal,ANN,LSTM,0.20858541571521,0.8350687083814491
Barisal,ANN,SARIMA+ANN,1.612803028941729,0.10899204448728361
Barisal,ANN,SARIMA+SVR,2.7992057856367927,0.005830657584059261
Barisal,ANN,SARIMA+XGB,3.110004229424876,0.002258535365291273
Barisal,ANN,SARIMA+LSTM,2.462852756009295,0.01497111965671054
Barisal,SVR,XGB,-2.051079889683016,0.04208462968172275
Barisal,LSTM,SNAIVE,-0.935701374834993,0.3510044314251323
Barisal,LSTM,SARIMA,1.7730254880360288,0.07835339144294703
Barisal,LSTM,SVR,0.6805227113922273,0.4972739051655521
Barisal,LSTM,XGB,-1.2056888453185683,0.22992869213770822
Barisal,LSTM,SARIMA+ANN,1.310814199646361,0.19202174353252438
Barisal,LSTM,SARIMA+SVR,1.7200579718225948,0.08758522374101818
Barisal,LSTM,SARIMA+XGB,1.9014480654174353,0.059254871426475945
Barisal,LSTM,SARIMA+LSTM,1.2330410290788538,0.2195835883175698
Barisal,SARIMA+ANN,SNAIVE,-1.6680173812263865,0.09750057672587413
Barisal,SARIMA+ANN,SVR,0.015234380821721592,0.9878664271191605
Barisal,SARIMA+ANN,XGB,-2.750584634599905,0.006718429827943805
Barisal,SARIMA+ANN,SARIMA+SVR,1.5618166003640943,0.12054156577211027
Barisal,SARIMA+ANN,SARIMA+XGB,2.09535801227855,0.03790195304864433
Barisal,SARIMA+ANN,SARIMA+LSTM,0.9582188096485963,0.33956969225909156
Barisal,SARIMA+SVR,SNAIVE,-2.6633909255078834,0.008623188746098593
Barisal,SARIMA+SVR,SVR,-1.3164608925097845,0.1901254967748761
Barisal,SARIMA+SVR,XGB,-2.4513565296750506,0.015437446875285425
Barisal,SARIMA+SVR,SARIMA+XGB,-0.14052390635748044,0.8884438125632378
Barisal,SARIMA+XGB,SNAIVE,-2.539430630968097,0.012172306205334174
Barisal,SARIMA+XGB,SVR,-1.4560577914671833,0.14756866881486141
Barisal,SARIMA+XGB,XGB,-2.8611668287239183,0.0048544564423835205
Barisal,SARIMA+LSTM,SNAIVE,-2.876064648147016,0.0046432009407910545
Barisal,SARIMA+LSTM,SVR,-1.3133313970939389,0.19117470077889592
Barisal,SARIMA+LSTM,XGB,-2.2327446024220867,0.027119802980005263
Barisal,SARIMA+LSTM,SARIMA+SVR,0.86623101728901,0.38781453921596754
Barisal,SARIMA+LSTM,SARIMA+XGB,0.7364530789497029,0.46266144329854625
Bhola,SNAIVE,SVR,1.339168140172196,0.18264066380784377
Bhola,SNAIVE,XGB,0.14777986667788562,0.882724665310215
Bhola,SARIMA,SNAIVE,-2.9358897621166458,0.003876891445228418
Bhola,SARIMA,SVR,-1.9754153757970105,0.050146189916281524
Bhola,SARIMA,XGB,-1.9725743136472609,0.050472777181758216
Bhola,SARIMA,SARIMA+ANN,-2.417212264613814,0.016899516502344232
Bhola,SARIMA,SARIMA+SVR,3.5285523419492364,0.0005622991698347767
Bhola,SARIMA,SARIMA+XGB,-1.887312210390959,0.06114493454866629
Bhola,SARIMA,SARIMA+LSTM,0.44252256021607694,0.6587797208418794
Bhola,ANN,SNAIVE,-1.344040463026378,0.18106379122488003
Bhola,ANN,SARIMA,1.538039347294762,0.12624878567241138
Bhola,ANN,SVR,0.19036128009149422,0.8492960097049813
Bhola,ANN,XGB,-1.0169775345900411,0.31088165357879777
Bhola,ANN,LSTM,-1.43246720772688,0.1541925335465213
Bhola,ANN,SARIMA+ANN,0.24288565150994723,0.8084420210950554
Bhola,ANN,SARIMA+SVR,1.9624710116878104,0.05164880421316211
Bhola,ANN,SARIMA+XGB,1.3033290856869717,0.19455697382753806
Bhola,ANN,SARIMA+LSTM,1.4795039137125459,0.14120529456709827
Bhola,SVR,XGB,-1.6223290480698467,0.10693557168862586
Bhola,LSTM,SNAIVE,0.0653983560482421,0.9479481709504063
Bhola,LSTM,SARIMA,2.669689071895535,0.00847078045109971
Bhola,LSTM,SVR,1.8712745585614028,0.06335011510931028
Bhola,LSTM,XGB,0.3307814792115207,0.7412937277155627
Bhola,LSTM,SARIMA+ANN,2.0742275095395066,0.03985123036179626
Bhola,LSTM,SARIMA+SVR,3.2298998376287855,0.0015364915384769176
Bhola,LSTM,SARIMA+XGB,2.6097027091928147,0.010026357466223256
Bhola,LSTM,SARIMA+LSTM,2.7675842133026896,0.00639495344228065
Bhola,SARIMA+ANN,SNAIVE,-1.438228016981801,0.1525542873828036
Bhola,SARIMA+ANN,SVR,0.04548891721206293,0.9637810706337969
Bhola,SARIMA+ANN,XGB,-1.6014826188127895,0.11147685467076945
