station,model_a,model_b,DM,p
Barisal,SNAIVE,SVR,2.353517070454272,0.01995815967365679
Barisal,SNAIVE,XGB,1.974830341975713,0.05021329429559103
Barisal,SARIMA,SNAIVE,-4.373772531690293,2.337907089162361e-05
Barisal,SARIMA,SVR,-4.527016977679547,1.2495658554310429e-05
Barisal,SARIMA,XGB,-4.013100696197536,9.628903979996123e-05
Barisal,SARIMA,SARIMA+ANN,-1.986434788118464,0.04889636552312035
Barisal,SARIMA,SARIMA+SVR,0.2593164789940665,0.795764001232177
Barisal,SARIMA,SARIMA+XGB,1.6572164254108128,0.09966807184693424
Barisal,SARIMA,SARIMA+LSTM,-1.1515824000475328,0.2514144494337251
Barisal,ANN,SNAIVE,-2.71029215224235,0.0075452988816905086
Barisal,ANN,SARIMA,3.3237944160666717,0.001127987706324556
Barisal,ANN,SVR,-0.5617230113546295,0.5751840791894867
Barisal,ANN,XGB,-1.040173798701292,0.30001465052918297
Barisal,ANN,LSTM,-0.8065316901315766,0.42127565315188176
Barisal,ANN,SARIMA+ANN,2.2840619596082963,0.023840505556370697
Barisal,ANN,SARIMA+SVR,3.390944240032498,0.0009007403615171751
Barisal,ANN,SARIMA+XGB,3.7765080942454943,0.00023257082315750882
Barisal,ANN,SARIMA+LSTM,2.7376344847642393,0.006974748148294507
Barisal,SVR,XGB,-0.7868302534873618,0.4326832988393422
Barisal,LSTM,SNAIVE,-2.4555213361542214,0.015267035996391112
Barisal,LSTM,SARIMA,3.7673172572058022,0.00024049090705373255
Barisal,LSTM,SVR,0.2720019342672601,0.7860128551598131
Barisal,LSTM,XGB,-0.3989117431037099,0.6905532991043818
Barisal,LSTM,SARIMA+ANN,2.5170334793996445,0.012937998983960428
Barisal,LSTM,SARIMA+SVR,3.6858961094154004,0.00032272358345082923
Barisal,LSTM,SARIMA+XGB,4.189161351008641,4.87592627547667e-05
Barisal,LSTM,SARIMA+LSTM,3.1616934691257037,0.001915442375874547
Barisal,SARIMA+ANN,SNAIVE,-3.5779537042779834,0.0004732312649543533
Barisal,SARIMA+ANN,SVR,-2.805182694571955,0.00572923880867568
Barisal,SARIMA+ANN,XGB,-2.8566065395587303,0.004920857878656981
Barisal,SARIMA+ANN,SARIMA+SVR,2.117681151721318,0.03593223692472037
Barisal,SARIMA+ANN,SARIMA+XGB,2.704975681926607,0.007661029433177057
Barisal,SARIMA+ANN,SARIMA+LSTM,1.1330442919102326,0.25909176970969516
Barisal,SARIMA+SVR,SNAIVE,-4.455342962308261,1.678014174809644e-05
Barisal,SARIMA+SVR,SVR,-4.414636580824923,1.98106030811513e-05
Barisal,SARIMA+SVR,XGB,-3.7681325789201585,0.00023977810846199845
Barisal,SARIMA+SVR,SARIMA+XGB,1.3574598487925444,0.17677358138037083
Barisal,SARIMA+XGB,SNAIVE,-4.664311559264634,7.0420647850120714e-06
Barisal,SARIMA+XGB,SVR,-5.232894031909144,5.828423537892934e-07
Barisal,SARIMA+XGB,XGB,-4.3356333028181355,2.7261477480883972e-05
Barisal,SARIMA+LSTM,SNAIVE,-4.096865997886727,6.983581652127678e-05
Barisal,SARIMA+LSTM,SVR,-4.061376685771832,8.006196739538479e-05
Barisal,SARIMA+LSTM,XGB,-3.4606801097954487,0.0007106151694250618
Barisal,SARIMA+LSTM,SARIMA+SVR,1.1719268086294286,0.24317524602542004
Barisal,SARIMA+LSTM,SARIMA+XGB,2.145452984514176,0.03360540381294149
Bhola,SNAIVE,SVR,2.748500944416443,0.006759085439036963
Bhola,SNAIVE,XGB,1.43749232079286,0.15276275443721224
Bhola,SARIMA,SNAIVE,-4.3961102223237924,2.1358186088515692e-05
Bhola,SARIMA,SVR,-2.9623997504033173,0.0035759812952410163
Bhola,SARIMA,XGB,-3.888176593321769,0.00015411523276870315
Bhola,SARIMA,SARIMA+ANN,1.2090876546217744,0.22862446389206434
Bhola,SARIMA,SARIMA+SVR,1.8431170523571436,0.0673823414709891
Bhola,SARIMA,SARIMA+XGB,0.26560274903362513,0.7909276926738568
Bhola,SARIMA,SARIMA+LSTM,1.585997053617098,0.11494883376969786
Bhola,ANN,SNAIVE,-3.4882375446202483,0.0006464395586830119
Bhola,ANN,SARIMA,1.5263663935273468,0.12912740006138973
Bhola,ANN,SVR,-1.1208624784418297,0.26422521269089366
Bhola,ANN,XGB,-2.176931385307681,0.031126563968413883
Bhola,ANN,LSTM,-2.737587035556601,0.0069757033973009905
Bhola,ANN,SARIMA+ANN,2.2330234364962163,0.027100971508135115
Bhola,ANN,SARIMA+SVR,2.0016904739718413,0.04720974993599649
Bhola,ANN,SARIMA+XGB,1.5560979703428648,0.12189521229223206
Bhola,ANN,SARIMA+LSTM,2.16274648900068,0.03222325126581921
Bhola,SVR,XGB,-1.9470769631257576,0.05348517864568491
Bhola,LSTM,SNAIVE,-1.0272776487241997,0.30602425742273826
Bhola,LSTM,SARIMA,4.178365866930664,5.0866375205752105e-05
Bhola,LSTM,SVR,2.074652905200292,0.03981115570453048
Bhola,LSTM,XGB,0.5811892466917201,0.5620278434766238
Bhola,LSTM,SARIMA+ANN,4.126034051990981,6.237807560062257e-05
Bhola,LSTM,SARIMA+SVR,4.383782559943122,2.245171216620908e-05
Bhola,LSTM,SARIMA+XGB,4.165003003629743,5.359553267893561e-05
Bhola,LSTM,SARIMA+LSTM,4.3063810685442325,3.065163881506849e-05
Bhola,SARIMA+ANN,SNAIVE,-4.497472776470564,1.411570418743064e-05
Bhola,SARIMA+ANN,SVR,-3.200100658767244,0.001692550840203974
Bhola,SARIMA+ANN,XGB,-3.8105228665968593,0.00020535791741641547
Bhola,SARIMA+ANN,SARIMA+SVR,-0.5389749520143834,0.5907422430501962
Bhola,SARIMA+ANN,SARIMA+XGB,-1.1113791510019426,0.2682702643361634
Bhola,SARIMA+ANN,SARIMA+LSTM,0.22715712434277624,0.8206259942620723
Bhola,SARIMA+SVR,SNAIVE,-4.717525424644446,5.621411400039621e-06
Bhola,SARIMA+SVR,SVR,-3.377560106861353,0.0009422955667236827
Bhola,SARIMA+SVR,XGB,-4.022286637518995,9.297743237149307e-05
