station,model,empirical_PI_coverage,SARIMA_analytic_coverage
Dhaka,SARIMA+SVR,0.9583333333333334,0.9513888888888888
Chittagong,SARIMA+LSTM,0.9513888888888888,0.9652777777777778
Barisal,SARIMA,0.9375,0.9652777777777778
Bogra,SARIMA+XGB,0.9652777777777778,0.9444444444444444
Comilla,SARIMA+SVR,0.9305555555555556,0.9236111111111112
Cox's Bazar,SARIMA+LSTM,0.9513888888888888,0.9236111111111112
Faridpur,SARIMA+SVR,0.9583333333333333,0.9583333333333334
Jessore,SARIMA+ANN,0.9513888888888888,0.9513888888888888
Khulna,SARIMA+SVR,0.9444444444444444,0.9583333333333334
Rajshahi,SARIMA+SVR,0.9374999999999999,0.9305555555555556
Rangamati,SARIMA+XGB,0.9444444444444444,0.9305555555555556
Rangpur,SARIMA+XGB,0.9652777777777778,0.9375
Sylhet,SARIMA+SVR,0.9444444444444444,0.9375
Srimongal,SARIMA+LSTM,0.9513888888888888,0.9583333333333334
Bhola,SARIMA+SVR,0.9652777777777777,0.8958333333333334
Mymensingh,SARIMA+LSTM,0.9583333333333333,0.9444444444444444
