station,model,Summer (Mar–Jun),Summer (Mar–Jun)_mean,Rainy (Jul–Oct),Rainy (Jul–Oct)_mean,Winter (Nov–Feb),Winter (Nov–Feb)_mean
Dhaka,SARIMA+SVR,34.01 (31.97–36.05),34.005693301750725,33.22 (31.19–35.26),33.22222955345375,27.92 (25.88–29.96),27.918252170532593
Chittagong,SARIMA+LSTM,32.71 (31.04–34.39),32.71377117717472,32.35 (30.68–34.03),32.35481052051387,28.82 (27.14–30.50),28.82089118839054
Barisal,SARIMA,33.71 (31.98–35.03),33.70804775209062,32.41 (30.68–33.73),32.41203492713133,28.29 (26.56–29.61),28.2922206931879
Bogra,SARIMA+XGB,33.05 (30.75–35.23),33.04743624813638,33.01 (30.71–35.19),33.00937531201758,27.06 (24.76–29.25),27.063800424637428
Comilla,SARIMA+SVR,32.80 (30.42–34.54),32.799515725617205,32.50 (30.12–34.24),32.504369211709545,27.83 (25.45–29.57),27.82864556887998
Cox's Bazar,SARIMA+LSTM,33.16 (31.25–34.47),33.16384722492082,32.25 (30.33–33.55),32.24744779602792,29.77 (27.85–31.07),29.7657486809982
Faridpur,SARIMA+SVR,34.19 (32.19–35.99),34.18848285273657,32.99 (30.99–34.79),32.98547129639226,27.69 (25.69–29.49),27.685742365964536
Jessore,SARIMA+ANN,35.15 (33.18–36.73),35.1486257581664,33.52 (31.55–35.10),33.518791619274836,28.06 (26.09–29.64),28.057304974146245
Khulna,SARIMA+SVR,34.61 (32.92–36.44),34.60668718317782,33.05 (31.37–34.89),33.05236896666855,27.83 (26.15–29.67),27.82885140310997
Rajshahi,SARIMA+SVR,35.18 (32.89–37.22),35.18347188979118,33.92 (31.62–35.95),33.91504680686956,27.03 (24.74–29.06),27.03036775365451
Rangamati,SARIMA+XGB,33.69 (31.51–35.57),33.688818425268906,32.58 (30.40–34.46),32.58037765715629,28.71 (26.52–30.59),28.707888386870046
Rangpur,SARIMA+XGB,32.56 (30.45–35.05),32.560562263433894,33.16 (31.05–35.66),33.163191077921915,26.92 (24.81–29.41),26.918330356077085
Sylhet,SARIMA+SVR,32.50 (29.88–35.07),32.497083980578246,33.23 (30.61–35.80),33.23028682940759,28.47 (25.85–31.04),28.469410197065155
Srimongal,SARIMA+LSTM,33.03 (31.17–34.88),33.033953974489854,33.13 (31.27–34.98),33.1339681422816,28.06 (26.19–29.90),28.057582022216526
Bhola,SARIMA+SVR,33.40 (31.99–35.18),33.400199414228126,32.34 (30.93–34.12),32.34184092628251,28.17 (26.75–29.94),28.16707468264666
Mymensingh,SARIMA+LSTM,32.01 (30.23–34.18),32.00828087337024,32.47 (30.70–34.65),32.47350009101755,26.97 (25.20–29.14),26.968504902807823
