station,model,Summer (Mar–Jun),Summer (Mar–Jun)_mean,Rainy (Jul–Oct),Rainy (Jul–Oct)_mean,Winter (Nov–Feb),Winter (Nov–Feb)_mean
Dhaka,SARIMA+SVR,33.89 (31.85–35.93),33.8852541923227,33.16 (31.13–35.20),33.16047089840112,27.79 (25.76–29.83),27.791607538231744
Chittagong,SARIMA+LSTM,32.69 (31.01–34.36),32.68571437620835,32.35 (30.67–34.02),32.34993570945586,28.74 (27.06–30.41),28.7376284202723
Barisal,SARIMA,33.73 (31.99–35.04),33.72563817345263,32.44 (30.71–33.76),32.443317803253294,28.16 (26.43–29.48),28.1599651199947
Bogra,SARIMA+XGB,33.16 (30.86–35.35),33.16392588032479,33.07 (30.77–35.25),33.06993959621472,26.96 (24.66–29.14),26.96104147337051
Comilla,SARIMA+SVR,32.81 (30.43–34.55),32.81008660251412,32.58 (30.20–34.32),32.57545259760199,27.85 (25.47–29.59),27.84883167757473
Cox's Bazar,SARIMA+LSTM,33.04 (31.12–34.34),33.039264957473264,32.05 (30.13–33.36),32.05328093259439,29.54 (27.62–30.85),29.543275733784355
Faridpur,SARIMA+SVR,34.15 (32.15–35.95),34.14588050855114,33.00 (31.00–34.80),32.99676666617597,27.61 (25.61–29.41),27.607369104691756
Jessore,SARIMA+ANN,35.20 (33.23–36.78),35.20166279405446,33.47 (31.50–35.05),33.471929153793454,27.90 (25.94–29.49),27.904899816665605
Khulna,SARIMA+SVR,34.62 (32.94–36.46),34.62407685335671,33.04 (31.36–34.88),33.044417247091076,27.78 (26.10–29.62),27.782067897069286
Rajshahi,SARIMA+SVR,35.23 (32.94–37.26),35.232581118691044,33.86 (31.57–35.90),33.86489224291013,26.89 (24.60–28.93),26.893892385827105
Rangamati,SARIMA+XGB,33.75 (31.56–35.63),33.747986329715836,32.60 (30.41–34.48),32.59714241522991,28.76 (26.57–30.64),28.756389412460653
Rangpur,SARIMA+XGB,32.37 (30.26–34.86),32.36677510776823,32.94 (30.83–35.43),32.93585718944936,26.44 (24.33–28.93),26.438928776851093
Sylhet,SARIMA+SVR,32.40 (29.78–34.97),32.40334344681706,33.20 (30.58–35.77),33.20323105822871,28.32 (25.70–30.89),28.320490199093367
Srimongal,SARIMA+LSTM,33.20 (31.33–35.04),33.19527862055551,33.23 (31.36–35.07),33.22648391528069,28.16 (26.30–30.01),28.16375639857791
Bhola,SARIMA+SVR,33.51 (32.10–35.29),33.50975045964644,32.53 (31.12–34.31),32.53068594848541,28.22 (26.81–30.00),28.223762620016387
Mymensingh,SARIMA+LSTM,32.07 (30.30–34.24),32.07341240895206,32.47 (30.69–34.64),32.465983704551896,26.83 (25.06–29.00),26.831676384508164
