model,MAE,RMSE,MASE,R2,ACF1,MAE_h1_12,MAE_h13_36,MAE_summer,MAE_top10,mean_rank,n_best
SARIMA+SVR,0.7510842134159817,0.948584888601212,0.7755169481474429,0.8894875181801026,0.2338970682663936,0.7101751436953605,0.7715387482762924,0.8708493340504575,1.1794234442044864,2.1875,7.0
SARIMA+XGB,0.7548760987608343,0.9509869545407884,0.7797250193930639,0.8890714311502899,0.24092123197668447,0.7093625080639682,0.7776328941092674,0.8687839337334853,1.217777500471606,2.9375,3.0
SARIMA,0.7548847727596102,0.9506674297204809,0.7795102785972583,0.889149585666178,0.24348609329085993,0.7118244754916655,0.7764149213935826,0.8660681068176964,1.214371852145745,2.8125,1.0
SARIMA+LSTM,0.7568625196813017,0.951396825640485,0.781079409095324,0.8899046532836224,0.25266492262024265,0.708563870428251,0.781011844307827,0.8619630906782907,1.2228134775728277,3.0625,4.0
SARIMA+ANN,0.8074066461734141,0.9994223926924121,0.8334854846831994,0.8784860545835345,0.24305263841579508,0.7468183681347651,0.8377007851927385,0.9048395723686818,1.3586233449115939,5.375,1.0
SVR,0.8098035190399007,1.0048453009443077,0.8357918007399795,0.8783473339468788,0.23584096245813252,0.7780105691183844,0.8256999940006589,0.9159589654132715,1.3472704867529728,5.0625,0.0
ANN,0.8825934290124688,1.0884412979076068,0.9117244803429991,0.8509621951624222,0.2874071756972921,0.8327556335848956,0.9075123267262554,0.9693401137251864,1.3507394739251268,7.25,0.0
XGB,0.9087089375,1.1043169171996796,0.9371868767445228,0.849592000052528,0.28983894585196,0.82100377734375,0.952561517578125,0.9926288111979168,1.5918380763020834,8.125,0.0
LSTM,0.9816739356426344,1.2400171332456946,1.0134262950857658,0.8173738323051871,0.36825285260296375,0.9154985899672525,1.0147616084803253,1.0745828582781056,1.5068455311834499,8.75,0.0
SNAIVE,0.9921692100694445,1.2744460559250987,1.0217137449022748,0.7998957685636227,0.22794250750478498,0.9469131380208333,1.01479724609375,1.194921875,1.4705130208333335,9.4375,0.0
