model,MAE,RMSE,MASE,R2,ACF1,MAE_h1_12,MAE_h13_36,MAE_summer,MAE_top10,mean_rank,n_best
SARIMA+SVR,0.7068054457073146,0.9031517983004954,0.7280828101439213,0.9001170637816369,-0.02113293557004036,0.6957313888128126,0.7123424741545655,0.83501131173828,1.0719925562409487,2.0625,5.0
SARIMA,0.711310069058538,0.9035746870901347,0.7323507341082597,0.9000345320456132,-0.031004685634322935,0.6921533596550676,0.7208884237602733,0.8378304589687634,1.1085109123058952,2.375,6.0
SARIMA+XGB,0.7118454907806141,0.9052307430206624,0.7326847639572333,0.8997463247270173,-0.03476345297582115,0.6890501446638947,0.7232431638389738,0.8364409605895401,1.1158921436399878,2.8125,3.0
SARIMA+LSTM,0.7179481574517506,0.9155291048982518,0.7391352342521649,0.8976010784454812,-0.02087270614643324,0.7038141795068457,0.7250151464242031,0.8451016427525196,1.0682015300011747,3.625,2.0
SARIMA+ANN,0.7305888541237415,0.9259209366490293,0.7514294365618529,0.8952190661013832,-0.05324606114603448,0.7163659884985196,0.7377002869363524,0.8467680126029371,1.0485477332052946,4.5625,0.0
ANN,0.783402344800092,0.9917243169476898,0.8066727313686963,0.8806264615656313,0.01428746721371242,0.8216032707798071,0.7643018818102343,0.892170787960459,1.1589712454052798,6.25,0.0
SVR,0.7918831493922878,0.9978767456135826,0.8158836988585894,0.879363464473357,0.09839164461297621,0.7814236370109224,0.7971129055829704,0.8923634853800568,1.3388988399724973,6.6875,0.0
XGB,0.8473003246527777,1.054405178549457,0.8732640289487457,0.8645206247628925,0.15742101179473694,0.8179579908854167,0.8619714915364584,0.9858370794270833,1.5704880848958336,8.5,0.0
LSTM,0.8619453560071217,1.0878357781836756,0.8887706656552774,0.8607058489081363,0.119014765420835,0.8735904169371438,0.8561228255421106,0.9632090832060204,1.3414879164174198,8.25,0.0
SNAIVE,0.9733153515625,1.2638728025450765,1.0037125608901658,0.8055740848651249,0.19251910012639,0.9469131380208333,0.9865164583333335,1.2463020833333334,1.4648151041666668,9.875,0.0
