station,model,MAE,RMSE,bias,MAE_2024,MAE_2025,MAE_SARIMA,MAE_snaive,MASE_vs_snaive,cov95_conformal,cov95_sarima,n_above_upper,n_below_lower,Apr2024_obs,Apr2024_fc,Apr2024_upper,Apr2024_percentile_1972_2023
Dhaka,SARIMA+SVR,0.6396789747745745,0.8849153390934696,0.01335897906906188,0.9182622793073986,0.36109567024175043,0.6577740007513851,0.6816666666666665,0.9384043639724811,0.9166666666666666,0.9166666666666666,1,1,37.02,34.59282395280268,36.6339889103507,100.0
Chittagong,SARIMA+LSTM,0.5929376868477788,0.8181293786715997,-0.012932547559856141,0.8651753953931115,0.3206999783024462,0.5915730405520766,0.7070833333333341,0.8385683255360445,0.9166666666666666,0.875,1,1,34.85,33.11569147117939,34.79052285604713,100.0
Barisal,SARIMA,0.6129391638932815,0.8506754431409822,0.018339730900511036,0.8878558547806538,0.3380224730059093,0.6129391638932815,0.7162499999999997,0.8557614853658384,0.875,0.9166666666666666,2,1,36.54,34.375128676543525,35.6930223972292,100.0
Bogra,SARIMA+XGB,0.7978709218309908,1.0908795531848352,0.07914929266210165,1.0379116571716471,0.5578301864903347,0.7787125104091781,0.8579166666666667,0.9300098166072744,0.9166666666666666,0.9166666666666666,1,1,37.04,33.68296118073608,35.86616889394797,98.07692307692307
Comilla,SARIMA+SVR,0.6509267930582512,0.8696022906702577,0.07179242636145844,0.8735753760383407,0.4282782100781617,0.6795012122720064,0.612916666666667,1.0620151620256981,0.9583333333333334,0.9583333333333334,0,1,34.54,33.23655502733874,34.97621869666182,94.23076923076923
Cox's Bazar,SARIMA+LSTM,0.5628656948383274,0.7401796827403573,-0.13793577188736675,0.6624951259385036,0.46323626373815124,0.5642129431321221,0.7162500000000009,0.7858508828458313,0.9583333333333334,0.9166666666666666,1,0,35.1,33.64009214471647,34.94347311646882,100.0
Faridpur,SARIMA+SVR,0.7095985632235888,0.9487977909551113,0.1265871458510112,0.9608999398056959,0.4582971866414818,0.7274276822462835,0.7533333333333335,0.9419449954295425,0.9166666666666666,0.9166666666666666,1,1,37.89,35.1855354821402,36.98644784219156,100.0
Jessore,SARIMA+ANN,0.7105982077972497,0.9221157145711012,-0.0777320239437677,0.7809162454205373,0.6402801701739621,0.7158774651001992,0.8216666666666667,0.8648254050270787,0.875,0.9166666666666666,2,1,38.58,36.50410877264799,38.08669445979572,98.07692307692307
Khulna,SARIMA+SVR,0.7348852706296073,0.9752681913737761,-0.00705255675298518,0.9529502495025582,0.5168202917566562,0.7284497844017898,0.7445833333333328,0.9869751815954442,0.9166666666666666,0.9166666666666666,1,1,37.88,35.55246343261568,37.38899141021293,100.0
Rajshahi,SARIMA+SVR,0.8778304182743818,1.0947081839327273,-0.24363351949771106,0.9051311344788496,0.8505297020699141,0.8631758704356439,1.0937499999999998,0.8025878109937207,0.9583333333333334,0.9166666666666666,1,0,39.07,36.30316694939178,38.33550939712024,98.07692307692307
Rangamati,SARIMA+XGB,0.7347596595118576,0.9285751060327379,0.23923851673689325,0.8957468612431588,0.5737724577805565,0.7150467215684033,0.8599999999999991,0.854371697106812,0.9583333333333334,0.9166666666666666,1,0,37.08,34.48057769665179,36.360565524549976,98.07692307692307
Rangpur,SARIMA+XGB,0.817953870772239,1.1919345704043929,0.01700187836100368,1.1831107611779386,0.45279698036653954,0.7971156821406958,0.7745833333333324,1.055992087064753,0.9166666666666666,0.9166666666666666,1,1,35.48,32.1628702189003,34.65534248946204,100.0
Sylhet,SARIMA+SVR,0.6647639916797052,0.8926865105162021,-0.3148148165798214,0.9917318115526358,0.33779617180677474,0.7443110103132184,0.5820833333333333,1.1420426485549697,1.0,1.0,0,0,32.93,32.36655799283352,34.937186520736134,84.61538461538461
Srimongal,SARIMA+LSTM,0.8036496750537858,1.011955894013089,0.11566914449273158,1.0975885841781883,0.5097107659293835,0.8520754612019222,0.7562500000000005,1.0626772562694682,0.9166666666666666,0.9166666666666666,1,1,35.83,33.870528828144145,35.71499416569904,98.07692307692307
Bhola,SARIMA+SVR,0.7366561906614003,0.8978935153512831,0.2738226728948597,0.9755235305770794,0.49778885074572116,0.7488638127282293,0.6929166666666665,1.0631237868835606,0.9166666666666666,0.875,1,1,35.97,34.077503687811465,35.85524792287924,100.0
Mymensingh,SARIMA+LSTM,0.8120887454520364,1.0829517469759613,0.06667458300461619,1.1907424422372248,0.43343504866684796,0.879987400151736,0.7424999999999994,1.0937222160970195,0.9166666666666666,0.9166666666666666,1,1,35.15,32.34245182085175,34.51399009728389,100.0
