station,year,Summer (Mar–Jun) obs,Summer (Mar–Jun) fc,Summer (Mar–Jun) PI,Summer (Mar–Jun) inPI,Rainy (Jul–Oct) obs,Rainy (Jul–Oct) fc,Rainy (Jul–Oct) PI,Rainy (Jul–Oct) inPI,Winter (Nov–Feb) obs,Winter (Nov–Feb) fc,Winter (Nov–Feb) PI,Winter (Nov–Feb) inPI
Dhaka,2024,34.49,33.93373579344767,31.90–35.97,True,33.105000000000004,33.13834209865301,31.10–35.18,True,27.509999999999998,27.86719097846056,25.83–29.91,True
Dhaka,2025,34.0025,33.96638773680661,31.93–36.01,True,33.052499999999995,33.192821427132266,31.16–35.23,True,27.910000000000004,27.891368091085525,25.86–29.93,True
Chittagong,2024,33.4675,32.81095127548617,31.13–34.49,True,32.28,32.41794229370609,30.74–34.09,True,28.432499999999997,28.90992084728694,27.23–30.58,True
Chittagong,2025,32.61000000000001,32.74347620550492,31.07–34.42,True,32.3625,32.378767326374636,30.70–34.05,True,28.88,28.849037337000382,27.17–30.52,True
Barisal,2024,34.51499999999999,33.66267924683897,31.93–34.98,True,32.457499999999996,32.35991208712601,30.63–33.68,True,27.755,28.26149265813882,26.53–29.58,True
Barisal,2025,33.405,33.681738304370796,31.95–35.00,True,32.5975,32.38572325834522,30.65–33.70,True,27.9975,28.26591605977711,26.53–29.58,True
Bogra,2024,33.805,33.16005337621498,30.86–35.34,True,33.1075,32.94942432023814,30.65–35.13,True,26.459999999999997,27.202663021850984,24.90–29.39,True
Bogra,2025,33.3975,32.91642992120034,30.62–35.10,True,32.932500000000005,32.99609788995425,30.70–35.18,True,27.015,27.017935714568694,24.72–29.20,True
Comilla,2024,33.0025,32.745350724722485,30.37–34.49,True,32.427499999999995,32.45998297391244,30.08–34.20,True,27.3675,27.829762672930375,25.45–29.57,True
Comilla,2025,32.79,32.77356799384846,30.39–34.51,True,32.7625,32.483934323939145,30.10–34.22,True,28.177500000000002,27.804146752478353,25.42–29.54,True
Cox's Bazar,2024,33.4675,33.03309485971928,31.11–34.34,True,31.6625,32.145217647045015,30.23–33.45,True,29.37,29.669082856676248,27.75–30.97,True
Cox's Bazar,2025,32.6875,33.119999538544796,31.20–34.42,True,32.06,32.2055418301629,30.29–33.51,True,29.819999999999997,29.722177899175975,27.80–31.03,True
Faridpur,2024,35.06,34.18555315890877,32.19–35.99,True,33.2625,32.96741991180169,30.97–34.77,True,27.307499999999997,27.665262031148863,25.67–29.47,True
Faridpur,2025,34.0425,34.165401922618145,32.17–35.97,True,32.964999999999996,32.96198073577266,30.96–34.76,True,27.7275,27.659859364643804,25.66–29.46,True
Jessore,2024,35.957499999999996,35.29520403929607,33.33–36.88,True,33.3575,33.44521947443489,31.48–35.03,True,27.482499999999998,28.01129311938464,26.04–29.59,True
Jessore,2025,35.0825,35.13506516228925,33.17–36.72,True,33.145,33.4917367035886,31.52–35.07,True,27.905,28.01787364466915,26.05–29.60,True
Khulna,2024,35.260000000000005,34.65211838257204,32.97–36.49,True,32.9425,33.06102884791895,31.38–34.90,True,27.23,27.8219241263198,26.14–29.66,True
Khulna,2025,34.57,34.59928024262544,32.92–36.44,True,33.05,33.04530495418628,31.36–34.88,True,27.92,27.83515878689541,26.15–29.67,True
Rajshahi,2024,35.76,35.18505275488886,32.89–37.22,True,33.6725,33.869426091305534,31.58–35.90,True,26.43,26.995946023518606,24.71–29.03,True
Rajshahi,2025,34.495,35.160925839559326,32.87–37.19,True,33.4675,33.89029254985854,31.60–35.92,True,26.8275,27.012657857855388,24.72–29.05,True
Rangamati,2024,34.4075,33.64679297232109,31.46–35.53,True,32.485,32.509564880975006,30.33–34.39,True,28.375,28.626425100271717,26.44–30.51,True
Rangamati,2025,33.925,33.65371884831646,31.47–35.53,True,32.6225,32.545291318801546,30.36–34.43,True,29.275,28.67277577889282,26.49–30.55,True
Rangpur,2024,33.0325,32.45252190797303,30.34–34.94,True,33.455,33.222033140276295,31.11–35.71,True,25.985,26.876354923239393,24.77–29.37,True
Rangpur,2025,32.8375,32.55097595671727,30.44–35.04,True,33.364999999999995,33.14751258553492,31.04–35.64,True,26.502499999999998,26.82609021609308,24.72–29.32,True
Sylhet,2024,31.85,32.3262373800029,29.71–34.90,True,32.7575,33.091548815427856,30.47–35.66,True,27.447499999999998,28.345662652005537,25.72–30.92,True
Sylhet,2025,32.44499999999999,32.45112072763024,29.83–35.02,True,33.1025,33.19680162002728,30.58–35.77,True,28.340000000000003,28.42001770438511,25.80–30.99,True
Srimongal,2024,33.322500000000005,33.24606986504837,31.38–35.09,True,33.247499999999995,33.22349276859853,31.36–35.07,True,27.4125,28.256892056892106,26.39–30.10,True
Srimongal,2025,33.615,33.054513546802426,31.19–34.90,True,33.595,33.14083660642544,31.28–34.99,True,28.5,28.076680289276748,26.21–29.92,True
Bhola,2024,34.254999999999995,33.43287510717738,32.02–35.21,True,32.5975,32.334129364636404,30.92–34.11,True,27.860000000000003,28.23694268114349,26.82–30.01,True
Bhola,2025,33.442499999999995,33.38160128070044,31.97–35.16,True,32.885000000000005,32.32665615244342,30.91–34.10,True,28.4675,28.152359376529716,26.74–29.93,True
Mymensingh,2024,32.652499999999996,32.1025555457985,30.33–34.27,True,32.565,32.51930586657345,30.75–34.69,True,26.3525,27.094708952994914,25.32–29.27,True
Mymensingh,2025,32.265,32.05394100002364,30.28–34.23,True,32.6725,32.50548348582434,30.73–34.68,True,27.1725,27.003957650757457,25.23–29.18,True
